2024-01-12 22:53:10 - INFO: {'Timestamp': '2024-01-12 22:53:09', 'Processor type': '12th Gen Intel(R) Core(TM) i5-1235U', 'Physical cores': 10, 'Total cores': 12, 'Max frequency (MHz)': 1300.0, 'Min frequency (MHz)': 0.0, 'Current frequency (MHz)': 1300.0, 'CPU usage': 1.2}
2024-01-12 22:55:53 - INFO: {'Timestamp': '2024-01-12 22:55:52', 'Processor type': '12th Gen Intel(R) Core(TM) i5-1235U', 'Physical cores': 10, 'Total cores': 12, 'Max frequency (MHz)': 1300.0, 'Min frequency (MHz)': 0.0, 'Current frequency (MHz)': 1300.0, 'CPU usage': 1.6}
2024-01-12 22:55:53 - INFO: {'Timestamp': '2024-01-12 22:55:52', 'Processor type': '12th Gen Intel(R) Core(TM) i5-1235U', 'Physical cores': 10, 'Total cores': 12, 'Max frequency (MHz)': 1300.0, 'Min frequency (MHz)': 0.0, 'Current frequency (MHz)': 1300.0, 'CPU usage': 0.3}
2024-01-12 22:56:01 - INFO: {'Timestamp': '2024-01-12 22:56:00', 'Processor type': '12th Gen Intel(R) Core(TM) i5-1235U', 'Physical cores': 10, 'Total cores': 12, 'Max frequency (MHz)': 1300.0, 'Min frequency (MHz)': 0.0, 'Current frequency (MHz)': 1300.0, 'CPU usage': 2.1}
2024-01-12 22:56:01 - INFO: {'Timestamp': '2024-01-12 22:56:00', 'Processor type': '12th Gen Intel(R) Core(TM) i5-1235U', 'Physical cores': 10, 'Total cores': 12, 'Max frequency (MHz)': 1300.0, 'Min frequency (MHz)': 0.0, 'Current frequency (MHz)': 1300.0, 'CPU usage': 0.7}
2024-01-12 22:56:08 - INFO: {'Timestamp': '2024-01-12 22:56:07', 'Processor type': '12th Gen Intel(R) Core(TM) i5-1235U', 'Physical cores': 10, 'Total cores': 12, 'Max frequency (MHz)': 1300.0, 'Min frequency (MHz)': 0.0, 'Current frequency (MHz)': 1300.0, 'CPU usage': 3.0}
2024-01-12 22:56:08 - INFO: {'Timestamp': '2024-01-12 22:56:07', 'Processor type': '12th Gen Intel(R) Core(TM) i5-1235U', 'Physical cores': 10, 'Total cores': 12, 'Max frequency (MHz)': 1300.0, 'Min frequency (MHz)': 0.0, 'Current frequency (MHz)': 1300.0, 'CPU usage': 0.9}
2024-01-12 22:56:16 - INFO: {'Timestamp': '2024-01-12 22:56:15', 'Processor type': '12th Gen Intel(R) Core(TM) i5-1235U', 'Physical cores': 10, 'Total cores': 12, 'Max frequency (MHz)': 1300.0, 'Min frequency (MHz)': 0.0, 'Current frequency (MHz)': 1300.0, 'CPU usage': 4.6}
2024-01-12 22:56:16 - INFO: {'Timestamp': '2024-01-12 22:56:15', 'Processor type': '12th Gen Intel(R) Core(TM) i5-1235U', 'Physical cores': 10, 'Total cores': 12, 'Max frequency (MHz)': 1300.0, 'Min frequency (MHz)': 0.0, 'Current frequency (MHz)': 1300.0, 'CPU usage': 1.7}
2024-01-12 22:56:24 - INFO: {'Timestamp': '2024-01-12 22:56:23', 'Processor type': '12th Gen Intel(R) Core(TM) i5-1235U', 'Physical cores': 10, 'Total cores': 12, 'Max frequency (MHz)': 1300.0, 'Min frequency (MHz)': 0.0, 'Current frequency (MHz)': 1300.0, 'CPU usage': 3.1}
2024-01-12 22:56:24 - INFO: {'Timestamp': '2024-01-12 22:56:23', 'Processor type': '12th Gen Intel(R) Core(TM) i5-1235U', 'Physical cores': 10, 'Total cores': 12, 'Max frequency (MHz)': 1300.0, 'Min frequency (MHz)': 0.0, 'Current frequency (MHz)': 1300.0, 'CPU usage': 2.2}
2024-01-12 22:56:31 - INFO: {'Timestamp': '2024-01-12 22:56:30', 'Processor type': '12th Gen Intel(R) Core(TM) i5-1235U', 'Physical cores': 10, 'Total cores': 12, 'Max frequency (MHz)': 1300.0, 'Min frequency (MHz)': 0.0, 'Current frequency (MHz)': 1300.0, 'CPU usage': 3.1}
2024-01-12 22:56:32 - INFO: {'Timestamp': '2024-01-12 22:56:31', 'Processor type': '12th Gen Intel(R) Core(TM) i5-1235U', 'Physical cores': 10, 'Total cores': 12, 'Max frequency (MHz)': 1300.0, 'Min frequency (MHz)': 0.0, 'Current frequency (MHz)': 1300.0, 'CPU usage': 1.2}
2024-01-12 22:56:39 - INFO: {'Timestamp': '2024-01-12 22:56:38', 'Processor type': '12th Gen Intel(R) Core(TM) i5-1235U', 'Physical cores': 10, 'Total cores': 12, 'Max frequency (MHz)': 1300.0, 'Min frequency (MHz)': 0.0, 'Current frequency (MHz)': 1300.0, 'CPU usage': 3.8}
2024-01-12 22:56:39 - INFO: {'Timestamp': '2024-01-12 22:56:38', 'Processor type': '12th Gen Intel(R) Core(TM) i5-1235U', 'Physical cores': 10, 'Total cores': 12, 'Max frequency (MHz)': 1300.0, 'Min frequency (MHz)': 0.0, 'Current frequency (MHz)': 1300.0, 'CPU usage': 0.7}
2024-01-12 22:56:46 - INFO: {'Timestamp': '2024-01-12 22:56:45', 'Processor type': 'Unknow', 'Physical cores': 10, 'Total cores': 12, 'Max frequency (MHz)': 1300.0, 'Min frequency (MHz)': 0.0, 'Current frequency (MHz)': 1300.0, 'CPU usage': 1.2}
2024-01-12 22:56:46 - INFO: {'Timestamp': '2024-01-12 22:56:45', 'Processor type': 'Unknow', 'Physical cores': 10, 'Total cores': 12, 'Max frequency (MHz)': 1300.0, 'Min frequency (MHz)': 0.0, 'Current frequency (MHz)': 1300.0, 'CPU usage': 1.2}
2024-01-12 22:56:56 - INFO: {'Timestamp': '2024-01-12 22:56:55', 'Processor type': '12th Gen Intel(R) Core(TM) i5-1235U', 'Physical cores': 10, 'Total cores': 12, 'Max frequency (MHz)': 1300.0, 'Min frequency (MHz)': 0.0, 'Current frequency (MHz)': 1300.0, 'CPU usage': 0.9}
2024-01-12 22:57:06 - INFO: {'Timestamp': '2024-01-12 22:57:05', 'Processor type': '12th Gen Intel(R) Core(TM) i5-1235U', 'Physical cores': 10, 'Total cores': 12, 'Max frequency (MHz)': 1300.0, 'Min frequency (MHz)': 0.0, 'Current frequency (MHz)': 1300.0, 'CPU usage': 3.0}
2024-01-12 22:57:07 - INFO: {'Timestamp': '2024-01-12 22:57:06', 'Processor type': '12th Gen Intel(R) Core(TM) i5-1235U', 'Physical cores': 10, 'Total cores': 12, 'Max frequency (MHz)': 1300.0, 'Min frequency (MHz)': 0.0, 'Current frequency (MHz)': 1300.0, 'CPU usage': 1.6}
2024-01-12 22:57:14 - INFO: {'Timestamp': '2024-01-12 22:57:13', 'Processor type': '12th Gen Intel(R) Core(TM) i5-1235U', 'Physical cores': 10, 'Total cores': 12, 'Max frequency (MHz)': 1300.0, 'Min frequency (MHz)': 0.0, 'Current frequency (MHz)': 1300.0, 'CPU usage': 2.5}
2024-01-12 22:57:14 - INFO: {'Timestamp': '2024-01-12 22:57:13', 'Processor type': '12th Gen Intel(R) Core(TM) i5-1235U', 'Physical cores': 10, 'Total cores': 12, 'Max frequency (MHz)': 1300.0, 'Min frequency (MHz)': 0.0, 'Current frequency (MHz)': 1300.0, 'CPU usage': 0.5}
2024-01-12 22:57:21 - INFO: {'Timestamp': '2024-01-12 22:57:20', 'Processor type': '12th Gen Intel(R) Core(TM) i5-1235U', 'Physical cores': 10, 'Total cores': 12, 'Max frequency (MHz)': 1300.0, 'Min frequency (MHz)': 0.0, 'Current frequency (MHz)': 1300.0, 'CPU usage': 5.1}
2024-01-12 22:57:22 - INFO: {'Timestamp': '2024-01-12 22:57:21', 'Processor type': '12th Gen Intel(R) Core(TM) i5-1235U', 'Physical cores': 10, 'Total cores': 12, 'Max frequency (MHz)': 1300.0, 'Min frequency (MHz)': 0.0, 'Current frequency (MHz)': 1300.0, 'CPU usage': 2.1}
2024-01-12 22:58:34 - INFO: {'Timestamp': '2024-01-12 22:58:33', 'Processor type': '12th Gen Intel(R) Core(TM) i5-1235U', 'Physical cores': 10, 'Total cores': 12, 'Max frequency (MHz)': 1300.0, 'Min frequency (MHz)': 0.0, 'Current frequency (MHz)': 1300.0, 'CPU usage': 0.7}
2024-01-12 22:58:41 - INFO: {'Timestamp': '2024-01-12 22:58:40', 'Processor type': '12th Gen Intel(R) Core(TM) i5-1235U', 'Physical cores': 10, 'Total cores': 12, 'Max frequency (MHz)': 1300.0, 'Min frequency (MHz)': 0.0, 'Current frequency (MHz)': 1300.0, 'CPU usage': 0.5}
2024-01-12 22:58:48 - INFO: {'Timestamp': '2024-01-12 22:58:47', 'Processor type': '12th Gen Intel(R) Core(TM) i5-1235U', 'Physical cores': 10, 'Total cores': 12, 'Max frequency (MHz)': 1300.0, 'Min frequency (MHz)': 0.0, 'Current frequency (MHz)': 1300.0, 'CPU usage': 0.5}
2024-01-12 22:58:56 - INFO: {'Timestamp': '2024-01-12 22:58:55', 'Processor type': '12th Gen Intel(R) Core(TM) i5-1235U', 'Physical cores': 10, 'Total cores': 12, 'Max frequency (MHz)': 1300.0, 'Min frequency (MHz)': 0.0, 'Current frequency (MHz)': 1300.0, 'CPU usage': 0.9}
